Vehicle,Gender,Direction,Type,Queue,Waiting time [s],Gap,Vehicle type,Accepted
187,f,r,c,0,1.436,0.0,Artificial,False
187,f,r,c,0,1.436,6.179,Disturbance,True
188,m,r,c,0,1.06,0.125004351,Disturbance,False
188,m,r,c,0,1.06,39.797,Car,True
189,m,r,c,0,0.952,0.0,Artificial,False
189,m,r,c,0,0.952,19.69,Car,True
190,f,r,c,0,1.466,0.0,Artificial,False
190,f,r,c,0,1.466,10.595,Car,True
191,m,r,c,0,2.917,0.0,Artificial,False
191,m,r,c,0,2.917,20.017,Car,True
192,m,r,c,0,1.232,0.0,Artificial,False
192,m,r,c,0,1.232,12.888,Car,True
193,m,r,c,0,7.301,2.031001617,Car,False
193,m,r,c,0,7.301,13.138,Car,True
194,f,r,c,0,3.884,2.341993694,Car,False
194,f,r,c,0,3.884,6.898,Van,True
195,m,r,c,0,2.761,0.0,Artificial,False
195,m,r,c,0,2.761,9.939,Car,True
196,m,r,c,0,3.026,1.717997884,Car,False
196,m,r,c,0,3.026,7.226,Van,True
197,m,r,c,0,1.701,0.0,Artificial,False
197,m,r,c,0,1.701,18.957,Car,True
198,f,r,c,0,12.246,0.0,Artificial,False
198,f,r,c,0,12.246,7.022,Car,True
201,m,r,c,0,4.181,0.31499805,Car,False
201,m,r,c,0,4.181,1.263008639,Car,False
201,m,r,c,0,4.181,0.920996815,MTW,False
201,m,r,c,0,4.181,7.99,Car,True
202,m,r,c,0,6.771,0.0,Artificial,False
202,m,r,c,0,6.771,35.134,Car,True
203,f,r,c,1,5.679,5.650002306,Car,False
203,f,r,c,1,5.679,11.609,Car,True
204,m,r,c,0,7.207,2.326996793,Car,False
204,m,r,c,0,7.207,6.758,Car,True
205,m,r,c,0,5.803,0.0,Artificial,False
205,m,r,c,0,5.803,6.086,Car,True
206,m,r,c,2,10.359,2.43399404,Car,False
206,m,r,c,2,10.359,1.234999095,Car,False
206,m,r,c,2,10.359,5.992,Car,True
207,m,r,c,1,7.987,2.248994802,Car,False
207,m,r,c,1,7.987,0.967003405,MTW,False
207,m,r,c,1,7.987,5.072,Car,True
208,m,r,c,1,19.298,5.148000643,Car,False
208,m,r,c,1,19.298,9.843006358,Car,False
208,m,r,c,1,19.298,1.388998702,Car,False
208,m,r,c,1,19.298,14.853,Car,True
209,m,r,c,0,6.146,1.266008784,Car,False
209,m,r,c,0,6.146,1.653994247,Car,False
209,m,r,c,0,6.146,11.874,Car,True
210,f,r,c,1,8.159,0.0,Artificial,False
210,f,r,c,1,8.159,8.801,Car,True
212,m,r,c,0,0.31201,0.0,Artificial,False
212,m,r,c,0,0.31201,21.483,Car,True
213,m,r,c,0,15.803,5.774000828,Car,False
213,m,r,c,0,15.803,5.662994832,Disturbance,False
213,m,r,c,0,15.803,3.010997549,Car,False
213,m,r,c,0,15.803,6.882,Car,True
214,m,r,c,0,6.786,0.205000659,Car,False
214,m,r,c,0,6.786,4.526,Car,True
218,m,r,c,0,3.373,0.0,Artificial,False
218,m,r,c,0,3.373,3.543,Car,True
219,m,r,c,2,10.655,2.566997503,Car,False
219,m,r,c,2,10.655,26.232,Car,True
220,m,r,c,1,12.371,0.163993036,Car,False
220,m,r,c,1,12.371,5.179000273,Car,False
220,m,r,c,1,12.371,22.113,Car,True
221,f,r,c,0,11.996,2.30099613,Car,False
221,f,r,c,0,11.996,19.446,Car,True
222,m,r,c,0,1.435,0.0,Artificial,False
222,m,r,c,0,1.435,14.22,Car,True
223,m,r,c,0,1.794,0.0,Artificial,False
223,m,r,c,0,1.794,11.724,Car,True
224,m,r,c,0,2.528,1.272003521,Car,False
224,m,r,c,0,2.528,25.233,Car,True
225,m,r,c,0,1.809,0.0,Artificial,False
225,m,r,c,0,1.809,22.347,Car,True
226,f,r,c,0,2.558,0.0,Artificial,False
226,f,r,c,0,2.558,8.51,Car,True
227,m,r,c,0,10.436,2.191994508,Car,False
227,m,r,c,0,10.436,1.404005662,Car,False
227,m,r,c,0,10.436,19.196,Car,True
228,m,r,c,0,2.761,1.060998067,Van,False
228,m,r,c,0,2.761,1.615001057,Car,False
228,m,r,c,0,2.761,9.4,Car,True
229,m,r,c,0,12.278,2.628996764,Car,False
229,m,r,c,0,12.278,7.964,Car,True
230,f,r,c,0,3.276,0.0,Artificial,False
230,f,r,c,0,3.276,18.65,Car,True
231,f,r,c,0,11.513,0.0,Artificial,False
231,f,r,c,0,11.513,6.201,Van,True
232,m,r,c,3,34.788,3.798000683,Van,False
232,m,r,c,3,34.788,13.97,Car,True
233,f,r,c,2,38.782,2.418001369,Car,False
233,f,r,c,2,38.782,1.747998968,Car,False
233,f,r,c,2,38.782,1.894993504,Van,False
233,f,r,c,2,38.782,3.321999684,Car,False
233,f,r,c,2,38.782,8.073,Car,True
234,f,r,c,1,39.951,2.003995125,Car,False
234,f,r,c,1,39.951,1.436001062,Car,False
234,f,r,c,1,39.951,6.006002426,Car,False
234,f,r,c,1,39.951,2.588992193,Car,False
234,f,r,c,1,39.951,3.261006251,Car,False
234,f,r,c,1,39.951,12.161,Car,True
235,f,r,c,0,28.626,3.065999021,Car,False
235,f,r,c,0,28.626,3.992997855,Car,False
235,f,r,c,0,28.626,9.228,Car,True
238,m,r,c,0,1.934,0.209003856,Car,False
238,m,r,c,0,1.934,5.716,Van,True
239,m,r,c,0,10.687,1.565997099,Car,False
239,m,r,c,0,10.687,6.713,Car,True
241,f,r,c,1,34.774,1.144001802,Car,False
241,f,r,c,1,34.774,4.434,Car,True
242,m,r,c,0,10.062,5.850008503,Car,False
242,m,r,c,0,10.062,1.547992771,Car,False
242,m,r,c,0,10.062,6.072,Car,True
243,m,r,c,1,15.21,3.276003152,Van,False
